test_season,train_seasons,params,log_loss,n_test
2015,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014)]","{'n_estimators': 200, 'max_depth': 6, 'min_samples_leaf': 1}",1.0481653437597231,370
2016,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015)]","{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3}",0.9490580443797036,375
2017,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016)]","{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 1}",0.9711206174805914,370
2018,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017)]","{'n_estimators': 200, 'max_depth': 6, 'min_samples_leaf': 1}",0.9494436963575394,380
2019,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018)]","{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 3}",1.0064492569722765,375
2020,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019)]","{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 3}",1.04698887024113,375
2021,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020)]","{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3}",0.9796997680637557,375
2022,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021)]","{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 3}",0.9863938838394685,375
2023,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022)]","{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3}",0.9575177137286237,375
2024,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023)]","{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3}",1.0194589161367342,370
2025,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)]","{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 3}",1.0446815265484375,380
2026,"[np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016), np.int64(2017), np.int64(2018), np.int64(2019), np.int64(2020), np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024), np.int64(2025)]","{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3}",1.0453776900704952,18
